CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A009;A010;A010_05;A011;A011_07;A012;A012_01;A012_02;A012_03;A012_04;A012_05;A012_06;A012_07;A012_08;A012_09;A012_09a;A014;B003;B003_01;B003_02;B003_03;B003_04;B003_05;B003_06;B003_07;B003_07a;B004;B005_01;B006;B007_01;B008;B008_01;B008_02;B008_03;B008_04;B008_05;B008_06;B008_06a;B009;B009_01;B010;B015;B015_01;B015_02;B015_03;B015_04;B015_05;B015_06;B015_07;B015_08;B011;B011_03;B012;B013;B013_01;B016_CN;B016x01;B016x11;B016x12;B016x13;B016x02;B016x21;B016x22;C001;C001_01;C001_02;C001_03;C001_04;C001_05;C001_06;C001_07;C001_08;C001_08a;C001_09;C002;C002_01;C002_02;C002_03;C002_04;C002_05;C002_06;C002_07;C002_08;C002_08a;C002_09;C003;C003_01;C003_02;C003_03;C003_04;C003_05;C003_06;C003_07;C003_08;C003_09;C003_09a;C003_10;C004;C004_01;C004_02;C004_03;C004_04;C004_05;C004_05a;C004_06;C005;C005_01;C006;C006_01;C006_02;C006_03;C006_04;C006_05;C006_06;C006_07;C006_08;C006_08a;C006_09;C007_01;D008;D002;D001_01;D003;D004_01;D005_01;D006_01;D007;;;;;;;;;;;;;;;;;;;;;;;;
417;;;base;interview;22.07.2019 15:24;276;1;;3;;2;1;2;2;1;1;1;1;1;1;;3;3;2;1;2;1;2;1;1;;1;"Data from spectrometer: Manually noted into lab book. 
";1;;5;2;2;2;2;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;5;2;2;2;2;1;2;1;1;;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;2;1;1;1;1;2;2;1;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
428;;;base;interview;22.07.2019 15:35;276;1;;4;;1;1;1;1;1;2;1;1;1;1;;1;1;1;2;1;1;1;1;1;;2;;1;;3;2;2;2;1;1;1;;3;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;1;2;2;1;1;1;1;;1;2;1;2;1;1;1;2;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429;;;base;interview;22.07.2019 15:36;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;3;3;1;2;2;2;1;1;1;;1;Mainly aquistion details, which are not automatically recorded;1;;4;2;2;2;1;2;1;;1;Save everything so someone else in the group could repeat it.;1;4;2;1;2;1;2;2;1;1;2;;1;1;A wiki beside a paper version for further archiving important information;1;1;1;1;1;2;1;2;3;2;2;1;2;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;2;2;1;2;1;1;1;1;1;;1;Repeat experiments with different focus;1;2;Mostly due to relocation of the working group + bad description/instructions of what other persons did. ;2;;;standardized rules for data archiving and a more centralized archiving system + some training for persons who are not so familar with archiving/computers;2;;;;;;;;;;;;;;;;;;;;;;;;
431;;;base;interview;22.07.2019 15:41;276;1;;3;;5;1;2;2;1;2;1;2;1;2;Photochemistry;4;4;2;2;2;1;2;1;1;;1;"Manual measurements of Quantum Yield Data, Kinetics.
Reading power values off a computer screen and writing them into a handwritten table which gets transferred into excel for calculation";2;NMR Spectra evaluation and assignment with ruler and pencil;1;1;1;1;2;1;1;;3;;1;6;2;2;2;1;2;2;2;1;1;;4;1;Word;1;1;1;1;1;2;2;1;4;2;2;1;2;1;2;1;1;;1;4;2;2;2;2;1;1;1;1;;1;3;1;1;2;2;1;1;2;1;1;;1;2;2;2;1;1;1;;1;2;;4;2;2;2;2;1;1;1;1;;1;Evaluation of similar experiments and reproduction of previous experiments;1;1;;2;;Automatic synchromization with version history;-;2;;;;;;;;;;;;;;;;;;;;;;;;
432;;;base;interview;22.07.2019 15:52;156;2;;3;;2;2;1;1;1;1;1;2;1;1;;4;5;2;1;2;2;2;2;1;;3;;1;;3;2;2;1;2;1;1;;2;;1;2;1;1;1;1;2;2;1;1;2;;1;2;;1;2;2;1;1;1;1;1;2;2;1;1;1;2;1;1;1;;1;4;2;1;2;2;2;1;1;1;;1;2;1;1;1;1;2;2;1;1;1;;1;1;1;1;2;1;1;;1;2;;1;1;1;1;2;1;1;1;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433;;;base;interview;22.07.2019 15:53;276;1;;8;;1;1;2;1;1;1;1;1;1;1;;8;1;1;1;2;1;1;1;1;;2;;1;;2;2;1;1;1;2;1;;2;;3;;;;;;;;;;;;;2;;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
434;;;base;interview;22.07.2019 15:54;276;1;;3;;3;1;1;2;1;2;1;2;1;1;;9;4;2;2;2;2;1;1;1;;3;;1;;4;2;2;2;2;1;1;;1;Archive eletronic data on working group server, archive offline data in lab books;1;5;2;2;2;2;2;1;1;1;1;;1;2;;1;2;1;2;1;1;1;1;4;1;2;2;1;2;1;2;1;;1;3;1;2;1;2;1;2;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;1;The local Rechenzentrum;;Cloud-based services;2;;;;;;;;;;;;;;;;;;;;;;;;
435;;;base;interview;22.07.2019 15:55;276;1;;2;;1;1;1;2;1;1;1;1;1;1;;4;6;2;1;2;2;2;2;2;SS-NMR data;2;;1;;3;1;2;2;1;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;1;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;1;ICSD;1;1;1;2;1;1;1;1;1;;1;Comparison of experimental results;1;2;I cannot tell you right now where those data are;2;;Interface between ELN/LIMS, lab devices and databases;"Mainly lab members do not care about data management rather they care about publishing as fast as possible; an infrastructure for data management is missing and there is no interest in developing one unless comes direct from above. In addition there is too much fluctuation in lab members and there is no investment in standardization of data management. Improve: data management plan can be set as a requirement upon publication; every lab member needs to go through a data management training; lab need to be digitalized which means, keep track on the data workflow process.";2;;;;;;;;;;;;;;;;;;;;;;;;
439;;;base;interview;22.07.2019 16:02;276;1;;1;;1;2;1;1;1;1;1;1;1;1;;8;4;2;2;2;1;2;1;1;;1;"CHNS analysis results
";2;"mass spectrometric peak assignment
CHNS analysis data
some NMR spectral assignments, in particular 2D NMR
";1;1;1;1;2;1;1;;1;copy to external harddisk at end of project;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;1;2;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;;1;3;1;1;1;2;1;2;2;1;1;;1;1;1;2;1;1;1;;1;1;CCDC PDB;1;1;1;1;2;1;1;1;1;;1;CIF files to obtain structural data and as input for DFT calculations;1;1;;1;TeamDrive server at Universität der Bundeswehr München;more support on local IT infrastructure;local IT support insufficient;1;;;;;;;;;;;;;;;;;;;;;;;;
440;;;base;interview;22.07.2019 16:05;276;1;;3;;1;1;1;1;1;2;1;1;1;1;;4;1;1;2;1;1;1;1;1;;2;;1;;1;1;1;1;1;2;1;;2;;1;1;1;1;1;1;2;1;1;1;2;;4;2;;1;1;1;1;1;2;2;1;2;1;2;2;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;2;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;coord files or programs other guys wrote. I use them sometimes;1;1;;2;;none;Sometimes it should be less chaotic;2;;;;;;;;;;;;;;;;;;;;;;;;
441;;;base;interview;22.07.2019 16:08;276;1;;3;;1;1;1;1;1;2;1;1;1;1;;2;1;1;2;1;1;1;1;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
445;;;base;interview;22.07.2019 16:23;276;1;;2;;1;1;2;1;1;1;1;1;1;1;;9;3;2;1;2;1;2;1;1;;1;Elemental Analysis, Mass Spectrometry, UV-VIS Spectrometry;2;Elemental analysis is printed on paper, then manually typed into ELN;4;2;2;2;2;1;1;;1;Electronic Lab Notebook;2;;;;;;;;;;;;;1;Chemotion ELN;;;;;;;;;5;2;2;1;1;2;1;2;2;ELN;1;4;2;2;1;2;1;2;1;1;;1;4;1;1;1;2;2;2;2;1;1;;1;2;2;2;1;1;1;;1;1;Chemotion Repository;4;2;2;2;2;1;1;1;1;;1;Comoarison and reference;1;1;;1;Chemotion;;Versioning and closing projects;2;;;;;;;;;;;;;;;;;;;;;;;;
451;;;base;interview;22.07.2019 16:29;191;1;;2;;3;1;1;2;1;2;1;2;1;1;;4;1;1;2;1;1;1;1;1;;2;;1;;5;2;2;2;2;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;5;2;2;2;2;1;2;1;1;;1;3;1;2;2;2;1;1;1;1;;1;3;1;1;2;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;1;NOMAD;3;2;2;2;1;1;1;1;1;;1;Building of the initial model structures, comparison of the methods and results;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
454;;;base;interview;22.07.2019 16:38;276;1;;3;;2;1;1;1;1;2;1;2;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
456;;;base;interview;22.07.2019 16:43;276;1;;2;;1;1;1;2;1;1;1;1;1;1;;4;2;1;1;2;2;1;1;1;;3;;1;;2;1;1;2;1;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;1;2;2;1;1;1;1;;1;3;1;2;1;2;1;2;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;2;1;2;2;1;1;;1;1;Yenodo;1;1;1;1;1;1;1;2;1;;1;;1;3;Not ;2;;electronic labjournals;Usage of the electronic labjournals;2;;;;;;;;;;;;;;;;;;;;;;;;
457;;;base;interview;22.07.2019 16:49;276;1;;3;;2;1;1;2;1;1;1;1;2;1;;2;2;1;1;2;2;1;1;1;;2;;1;;1;1;1;1;2;1;1;;2;;1;2;1;1;2;1;2;1;1;1;1;;3;2;;1;1;1;1;1;2;1;2;2;1;2;2;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;1;LRZ München;;;2;;;;;;;;;;;;;;;;;;;;;;;;
459;;;base;interview;22.07.2019 17:08;276;1;;8;;1;1;1;1;1;1;2;1;1;1;;8;1;1;2;1;1;1;1;1;;2;;1;;3;2;2;2;1;1;1;;2;;3;;;;;;;;;;;;;2;;;;;;;;;;4;1;2;2;1;2;2;1;1;;1;2;1;1;1;2;1;2;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;1;PDB;2;1;1;2;2;1;1;1;1;;1;Check correctness;1;2;;1;Computer centers, eg. LRZ;;;2;;;;;;;;;;;;;;;;;;;;;;;;
463;;;base;interview;22.07.2019 17:23;276;2;;8;;1;1;1;2;1;1;1;1;1;1;;8;2;1;1;2;2;1;1;1;;2;;1;;1;1;1;1;2;1;1;;2;;1;4;2;1;2;2;2;1;1;1;1;;2;2;;1;1;1;1;1;2;1;2;2;2;1;2;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;3;1;2;2;2;1;1;1;1;;1;molecular coordinates for generation of candidate structures for fitting experimental data;1;1;;2;;Adjustable electronic lab book for automatic generation of metatdata;Automatic generation of metatdata;;;;;;;;;;;;;;;;;;;;;;;;;
465;;;base;interview;22.07.2019 17:34;276;1;;3;;1;1;1;1;1;1;1;1;2;1;;2;1;1;1;2;1;1;1;1;;1;"Traits of plants (eg. height, number of leaves, time of sampling/cutting the plant, ...), community composition (number of plant species in plots, abundance estimation of those species) are all recorded manually on a sheet of paper. Data is then digitalised later. 
We use this ""double-recording"" as a reference of original raw data, as it is slightly more difficult to track down flaws in excel sheets (that might happen by accident) than it is in handwritten data.";1;;4;2;2;2;1;1;2;also raw handwritten data from the field;1;but only for parts of the data, eg. MS measurements;1;5;2;1;2;1;2;2;2;1;3;if possible manually (e.g. dates, sample-runnumber,... ) AND via software (e.g. dates, sample-runnumber, measurement specifications,...);2;2;;1;1;1;1;1;2;2;1;3;1;2;1;2;1;1;2;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;1;1;2;1;1;;1;1;MetaboLights;2;1;1;1;1;2;2;1;1;;1;;1;1;;2;;"digital labjournals (to keep all data from the project as close together as possible), cloud service (or any other sharing platform for ""big data"")";The combination of collecting data (e.g. in the field), digitalising the data and putting them to the lab journal does not work super efficient nor easy since the data are retrieved from different platforms and laboratories. The data accessibility should be improved, as there is atm no easy way to share data with researchers outside my institute (e.g. cloud). Used repositories are nice to store data but require a specific shape of the data, which is not always handy/useful while working on it.;2;;;;;;;;;;;;;;;;;;;;;;;;
475;;;base;interview;22.07.2019 21:22;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;9;2;2;1;1;2;1;1;1;;2;;2;Recently I had to print images from scanning tunneling microscopy to evaluate them manually as I did not have a software for this special kind of application (and I had no clue how to program an application in an adequate time). Afterwards I tipped the values I got into a further anaylsis calculation.;2;2;1;2;1;1;1;;1;Archived on the working group server;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;1;2;1;2;1;1;;1;2;1;2;2;1;1;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;a national repository;Only the working group server is archived regularly. If you did not copy your data on it regularly the could be gone permanently.;2;;;;;;;;;;;;;;;;;;;;;;;;
495;;;base;interview;23.07.2019 08:03;276;2;;2;;3;1;1;2;1;2;1;2;1;1;;9;3;1;2;2;1;2;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
496;;;base;interview;23.07.2019 08:03;276;2;;8;;2;1;1;2;2;1;1;1;1;1;;4;1;1;1;2;1;1;1;1;;2;Sometimes temperature/;1;;2;2;2;1;1;1;1;;2;;1;3;1;1;2;1;2;2;1;1;1;;1;2;;1;1;1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
